Which of these statements best defines social constructivism?,"Social constructivism argues that security can be constructed, and that the human world is not given or natural but instead is a product of human actors.","Social constructivism only studies aspects of the international system that are based in the societal sphere, such as issues of poverty, race relations and gender.","Societal constructivism is concerned with the study of 'natural' systems, hierarchies and values that exist within the international system and which define its societies.",Social constructivism as a concept eludes definition; it is a group of loosely based theories and ideas rather than a specific political or scientific approach.,A
Which of the following is not a motivation for utilising aid as an economic policy for security?,"To reward recipients for the cessation of negative behaviour, such as human rights abuses.",To incentivise recipients to act in ways beneficial to the donor.,Compassion for the human suffering of others.,To influence recipients or potential recipients through granting or denying aid.,C
"As Cold War tensions declined, which three international issues emerged as new interested in the field of peace studies?",Global environmental issues and their potential to limit economic expansion; the economic dependence of newly independent post-colonial states; and the Vietnam war.,"Economic security in the globalised international arena; localised environmental issues that potentially limited industrial expansion; and the Vietnam war, particularly in its capability to act as a drain on military and economic resources of the U.S.A.","Primarily, the potential for a breakdown in détente and the subsequent escalation of Cold War tensions, leading to a focus on maintaining peace and the negotiations between East and West; secondly, a focus on the impacts of the Vietnam war that stems from this concern; and finally, a study of the development of post-colonial states.",The economic prosperity of newly independent post-colonial states; global environmental issues; and the emergence of new security threats in de-escalation of Cold War tensions.,A
"Compared to the variance of the Maximum Likelihood Estimate (MLE), the variance of the Maximum A Posteriori (MAP) estimate is ________",higher,same,lower,it could be any of the above,C
The 13C spectrum of which isomer of C6H14 has lines with three distinct chemical shifts?,hexane,2-methylpentane,3-methylpentane,"2,3-dimethylbutane",A
"For 8 weeks, a 52-year-old man with a 5-year history of type 2 diabetes mellitus has had deep burning pain in the ball of his right foot and big toe when the foot is raised above chest concentration. He also has cramping in his right calf when he walks more than 50 feet. He has smoked two packs of cigarettes daily for 30 years. Femoral pulses are palpable; pedal pulses are absent. Which of the following is the most likely diagnosis?",Aortoiliac stenosis,Femoral popliteal stenosis,Mononeuropathy,Vasculitis,B
"A randomized controlled trial is conducted to assess the risk for development of gastrointestinal adverse effects using azithromycin compared with erythromycin in the treatment of pertussis in children. Of the 100 children with pertussis enrolled, 50 receive azithromycin, and 50 receive erythromycin. Results show vomiting among 5 patients in the azithromycin group, compared with 15 patients in the erythromycin group. Which of the following best represents the absolute risk reduction for vomiting among patients in the azithromycin group?",0.1,0.2,0.33,0.67,B
"A 63-year-old man is brought to the emergency department because of a 4-day history of increasingly severe left leg pain and swelling of his left calf. He also has a 1-month history of increasingly severe upper midthoracic back pain. During this time, he has had a 9-kg (20-lb) weight loss despite no change in appetite. He has no history of major medical illness. His only medication is ibuprofen. He is 180 cm (5 ft 11 in) tall and weighs 82 kg (180 lb); BMI is 25 kg/m2 . His vital signs are within normal limits. On examination, lower extremity pulses are palpable bilaterally. The remainder of the physical examination shows no abnormalities. An x-ray of the thoracic spine shows no abnormalities. A CT scan of the abdomen shows a 3-cm mass in the body of the pancreas; there are liver metastases and encasement of the superior mesenteric artery. Ultrasonography of the left lower extremity shows a femoropopliteal venous clot. Which of the following is the most likely cause of this patient’s symptoms?",Carcinoid syndrome,Hypercoagulability from advanced malignancy,Multiple endocrine neoplasia,Splenic artery aneurysm and embolic disease of the left lower extremity,B
"A 45-year-old man with AIDS comes to the community health center because of a 1-week history of fever, chills, sweating, mild shortness of breath, and nonproductive cough. Medical history is also remarkable for pneumonia 3 years ago that required hospitalization. Today, he says that he lost his job 6 months ago, is now homeless, and cannot afford to buy his antiretroviral medications. Vital signs are temperature 38.6°C (101.5°F), pulse 82/min, respirations 20/min, and blood pressure 116/72 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. The health center is very busy with several patients waiting to be evaluated. Which of the following is the most appropriate next step?",Arrange a direct admission to the hospital for this patient,Continue with obtaining a thorough history and examining this patient,Place masks on the patient and yourself and then continue to evaluate him,"Send this patient for chest x-rays, and while they are being obtained examine the next patient",C
"This question refers to the following information.
Read the documents below.
Source 1
If then by the Use of Machines, the Manufacture of Cotton, an Article which we import, and are supplied with from other Countries, and which can everywhere be procured on equal Terms, has met with such amazing Success, may not greater Advantages be reasonably expected from cultivating to the utmost the Manufacture of Wool, the Produce of our own Island, an Article in Demand in all Countries, almost the universal Clothing of Mankind?
In the Manufacture of Woollens, the Scribbling Mill, the Spinning Frame, and the Fly Shuttle, have reduced manual Labour nearly One third, and each of them at its-first Introduction carried an Alarm to the Work People, yet each has contributed to advance the Wages and to increase the Trade, so that if an Attempt was now made to deprive us of the Use of them, there is no Doubt, but every Person engaged in the Business, would exert himself to defend them.
—Statement by the Cloth Merchants of Leeds, 1791
Source 2
Come, cropper lads of high renown,
Who love to drink good ale that's brown,
And strike each haughty tyrant down,
With hatchet, pike, and gun!
Oh, the cropper lads for me,
The gallant lads for me,
Who with lusty stroke,
The shear frames broke,
The cropper lads for me!
What though the specials still advance,
And soldiers nightly round us prance;
The cropper lads still lead the dance,
With hatchet, pike, and gun!
Oh, the cropper lads for me,
The gallant lads for me,
Who with lusty stroke
The shear frames broke,
The cropper lads for me!
—Luddite Song, The Cropper's Song, c. 1812
Which of the following is NOT a result of the Industrial Revolution according to the documents and your knowledge of European history?","In some of the less industrialized areas of Europe, the dominance of agricultural elites persisted into the twentieth century.","Cities experienced overcrowding, while affected rural areas suffered declines in available labor as well as weakened communities.",Class identity developed and was reinforced through daily life and participation in groups such as labor unions.,Greater social and economic equity emerged as the workers and their bosses saw their incomes become more equal.,D
"This question refers to the following information.
""The Italian nation has been at last united in our own days, and we all rejoiced in its union. Yet we may be allowed to doubt whether the union was not a little too speedy and a little too thorough. It is surely carrying unity too far to wipe out all traces of the independent being, for most purposes to wipe out the very name, of such a land as Sicily. It jars on our feelings to find that, while Ireland at least forms part of the royal style of its sovereign, Sicily is no longer even a geographical expression. The island realm of Roger has sunk to be seven provinces of the kingdom on the mainland. And there is another result of Italian unity, a result in which we may rejoice without drawbacks, but which still has somewhat of sadness about it as finally ending that great phase of the history of Europe with which we have throughout been dealing. Never were ties with the past so fully snapped as when the army of Italy entered liberated Rome. Of all novelties in European history the greatest was when Rome became the centre of a dominion with acknowledged metes and bounds, the head in short of a local Italian kingdom. ""Rome the capital of Italy"" was a formula which might well gladden our hearts; but it was a formula which formally swept away the œcumenical position, the œcumenical traditions, of Rome&….
But the kingdom of Italy is not an appendage to Rome; Rome is the head of the kingdom. The whole is greater than its part; Rome, by her own free will and by the free will of Italy, has become less than Italy. By becoming the willing head of an Italian kingdom she has formally cast aside her Imperial traditions as they were not cast aside when brute force made her the head of a French department.""
Edward A. Freeman, British historian and politician, The Chief Periods of European History, 1885
The author would likely take exception to the methods of which leader during this time period in Italy?",Napoleon III,Giuseppe Garibaldi,Victor Emmanuel,Count Cavour,B
Why is Bentham's account of sovereignty generally considered to be more sophisticated - and more acceptable - than Austin's?,Because Bentham's Utilitarianism redeems his account of sovereignty.,Because Austin overlooks the significance of morality.,Because Bentham recognizes the possibility of limiting the sovereign's power.,Because Austin incorporates power-conferring rules into his concept of the sovereign's commands.,C
"An investigator suspects that acetaminophen use during the first trimester of pregnancy can cause neural tube defects. She estimates the risk of neural tube defect in the general population is 1:1,000. Which of the following is the best study design to investigate the hypothesis?",Cohort study,Case-control study,Clinical trial,Ecologic Study,D
